Id,Label
#ShafqatAli,#ShafqatAli
#SaddiqulFarooq,#SaddiqulFarooq
#GTVNews,#GTVNews
#HerAllies,#HerAllies
#consent,#consent
#manels,#manels
#Restoresaaraaab,#Restoresaaraaab
#gangrape,#gangrape
#theraphyworks,#theraphyworks
#JusticeforSaima,#JusticeforSaima
#sahiwal,#sahiwal
#JusticeSystemPakistan,#JusticeSystemPakistan
#hangzahir,#hangzahir
#JusticeForSale,#JusticeForSale
#JUSTICEFORMARIAM,#JUSTICEFORMARIAM
#NoorMuqaddam,#NoorMuqaddam
#MajeedAchakzai,#MajeedAchakzai
#DeathSentence,#DeathSentence
#justice,#justice
#PMIK,#PMIK
#PrimeMinisterImrankhan,#PrimeMinisterImrankhan
#imrankhancovidpositive,#imrankhancovidpositive
#ImranKhanMyPM,#ImranKhanMyPM
#نوروز,#نوروز
#Nowruz,#Nowruz
#NoorMukaddam,#NoorMukaddam
#killer,#killer
#COVID19,#COVID19
#asmatadamjee,#asmatadamjee
#TwoPakistanNotOne,#TwoPakistanNotOne
#NoorMukkadam,#NoorMukkadam
#العدالة_لمريم,#العدالة_لمريم
#murdercase,#murdercase
#releasekhurramali,#releasekhurramali
#antirape,#antirape
#CourtingTheLaw,#CourtingTheLaw
#JusticeForHanifa,#JusticeForHanifa
#A12,#A12
#emergencyservices,#emergencyservices
#london,#london
#essex,#essex
#pakistanmovingforward,#pakistanmovingforward
#roadTrip,#roadTrip
#انصاف_کرو_سیاست_نہیں,#انصاف_کرو_سیاست_نہیں
#BuryingKashmirIsRejected,#BuryingKashmirIsRejected
#PakistanZindabad,#PakistanZindabad
#ATC,#ATC
#NCOC,#NCOC
#Romford,#Romford
#AutomotiveIndustry,#AutomotiveIndustry
#TherapyWorks,#TherapyWorks
#motorwayrape,#motorwayrape
#News360,#News360
#Rawalpindi,#Rawalpindi
#motorwayIncident,#motorwayIncident
#RapistPMLN,#RapistPMLN
#ThoughtForTheDay,#ThoughtForTheDay
#Court,#Court
#TahirZahoor,#TahirZahoor
#justiceforzainab,#justiceforzainab
#GraphicWalaDesigner,#GraphicWalaDesigner
#Zainabcase,#Zainabcase
#India,#India
#RoadSafety,#RoadSafety
#court,#court
#stopblamingvictims,#stopblamingvictims
#EnoughIsEnough,#EnoughIsEnough
#CircleMaze,#CircleMaze
#Capital_punshiment,#Capital_punshiment
#Motorwaycase,#Motorwaycase
#UPDATE,#UPDATE
#Xbox,#Xbox
#SeriesX,#SeriesX
#womenvoilence,#womenvoilence
#RESTOCK,#RESTOCK
#justiceforpakistan,#justiceforpakistan
#gamestophearing,#gamestophearing
#crime,#crime
#AlanpurNews,#AlanpurNews
#cars,#cars
#Rapists,#Rapists
#woman,#woman
#targets,#targets
#Walmart,#Walmart
#Evil,#Evil
#gamedev,#gamedev
#mukaddams,#mukaddams
#PunjabPolice,#PunjabPolice
#MukhtaranMai,#MukhtaranMai
#motorcycle,#motorcycle
#FridayMotivation,#FridayMotivation
#Motorsport,#Motorsport
#potholetracker,#potholetracker
#USA,#USA
#Coronaviruspakistan,#Coronaviruspakistan
#BeTheVoiceForJustice,#BeTheVoiceForJustice
#MaryamNawaz,#MaryamNawaz
#girlpower,#girlpower
#Islamabad,#Islamabad
#Igbos,#Igbos
#FazalurRehman,#FazalurRehman
#BilawalBhutto,#BilawalBhutto
#Dortmund,#Dortmund
#DunyaNews,#DunyaNews
#MazratKaySaath,#MazratKaySaath
#Lewy,#Lewy
#aneketwinstv,#aneketwinstv
#PMLN,#PMLN
#PTI,#PTI
#PPP,#PPP
#JUIF,#JUIF
#capitalpunishment,#capitalpunishment
#Batman,#Batman
#womenempowerment,#womenempowerment
#NoMercy,#NoMercy
#HARASSMENTRISK,#HARASSMENTRISK
#Selfdefense,#Selfdefense
#BTSV,#BTSV
#atwinsdesign,#atwinsdesign
#aneketwins,#aneketwins
#obuasi,#obuasi
#CoupleGoals,#CoupleGoals
#HanKer,#HanKer
#JusticeLeague,#JusticeLeague
#ADA,#ADA
#FarmersProtest,#FarmersProtest
#JUNGKOOK,#JUNGKOOK
#kerabling,#kerabling
#PTIGovernment,#PTIGovernment
#Bayern,#Bayern
#PositiveVibesOnly,#PositiveVibesOnly
#SaintsFC,#SaintsFC
#streetharassment,#streetharassment
#OneVoice,#OneVoice
#mksw85official,#mksw85official
#مريم_وين,#مريم_وين
#ImperialNews92,#ImperialNews92
#whereismariam,#whereismariam
#Shame,#Shame
#deathpenalty,#deathpenalty
#TalhaInsafian,#TalhaInsafian
#StandwithNoor,#StandwithNoor
#MotivationalQuotes,#MotivationalQuotes
#motivation,#motivation
#Makinde,#Makinde
#zainab,#zainab
#hangtherapist,#hangtherapist
#Newsonepk,#Newsonepk
#goodnight,#goodnight
#OneNation,#OneNation
#modeltown,#modeltown
#ushnashah,#ushnashah
#brabus,#brabus
#INCPAK,#INCPAK
#CMBuzdarOnDunyaNews,#CMBuzdarOnDunyaNews
#IslamicLaw,#IslamicLaw
#RiasatEMadina,#RiasatEMadina
#Positive,#Positive
#Jail,#Jail
#maybach,#maybach
#Crimes,#Crimes
#AnilDeshmukh,#AnilDeshmukh
