Id,Label
allhumdulilah,allhumdulilah
sending,sending
lots,lots
prayers,prayers
noors,noors
allahs,allahs
blessings,blessings
upon,upon
you❤️,you❤️
yess,yess
facts,facts
attending,attending
circumstances,circumstances
reveal,reveal
suffering,suffering
mental,mental
illness,illness
afterthought,afterthought
plea,plea
raised,raised
rid,rid
criminal,criminal
liability,liability
order,order
declare,declare
“,“
healthy”,healthy”
hurdle,hurdle
put,put
him,him
better,better
already,already
hunch,hunch
adamjaffs,adamjaffs
claim,claim
docs,docs
r,r
incompampdon’t,incompampdon’t
know,know
nuances,nuances
ment,ment
healthonly,healthonly
therapy,therapy
works,works
doesi,doesi
also,also
believe,believe
antics,antics
americansi’m,americansi’m
lawyer,lawyer
degree,degree
americans,americans
save,save
afreedi,afreedi
complicit,complicit
torture,torture
young,young
woman,woman
theyre,theyre
posting,posting
absolutely,absolutely
vile,vile
disgusting,disgusting
lousy,lousy
theatrics,theatrics
gain,gain
some,some
sick,sick
sympathy,sympathy
feel,feel
disgusted,disgusted
creep,creep
monsters,monsters
deserve,deserve
empathy,empathy
exist,exist
any,any
thats,thats
im,im
wondering,wondering
kind,kind
consequences,consequences
definitely,definitely
face,face
here,here
hereafter,hereafter
reality,reality
mockery,mockery
judicial,judicial
system❗such,system❗such
pics,pics
disdainful,disdainful
judiciary,judiciary
end,end
blatant,blatant
speedy,speedy
examplary,examplary
punishment,punishment
punish,punish
who,who
obstruct,obstruct
timely,timely
x3,x3
main,main
produced,produced
before,before
sitting,sitting
chair,chair
according,according
accuseds,accuseds
lawyers,lawyers
jaffers,jaffers
condition,condition
deteriorated,deteriorated
axhar,axhar
maneuver,maneuver
dodging,dodging
rehearsal,rehearsal
altitude,altitude
41000,41000
ft,ft
mach4,mach4
hearing👏,hearing👏
wat,wat
manhoos,manhoos
moment,moment
this💔,this💔
ppl,ppl
pro,pro
humiliating,humiliating
sentiments,sentiments
others,others
selflessly,selflessly
selfish,selfish
souls💔,souls💔
knowingly,knowingly
unknowingly,unknowingly
feed,feed
inside,inside
them💔,them💔
k,k
janaza,janaza
nikly,nikly
no,no
dramas,dramas
u,u
maafi,maafi
hearing,hearing
thursday,thursday
prime,prime
suspect,suspect
brought,brought
islamabad,islamabad
sessions,sessions
stretcher,stretcher
rather,rather
asked,asked
having,having
sort,sort
relation,relation
continue,continue
counsels,counsels
caseis,caseis
delayed,delayed
whom,whom
concern💔,concern💔
iscool76,iscool76
anyone,anyone
confused,confused
she,she
muslim,muslim
girl,girl
got,got
brutally,brutally
murdered,murdered
rejecting,rejecting
government,government
mostly,mostly
ignoring,ignoring
most,most
probably,probably
bribed,bribed
hate,hate
ass,ass
holes,holes
innocent,innocent
ruthlessly,ruthlessly
creepy,creepy
seeing,seeing
acting,acting
😠,😠
stop,stop
portraying,portraying
disable,disable
uh,uh
guys,guys
wanna,wanna
girls,girls
hang,hang
bastard,bastard
when,when
wrapped,wrapped
nasty,nasty
piece,piece
zj,zj
receive,receive
crazy,crazy
man,man
act,act
properly,properly
guy,guy
gut,gut
guts,guts
telling,telling
boring,boring
le,le
watching,watching
sm,sm
hatsofftotheapathy,hatsofftotheapathy
sympathizers,sympathizers
ampdefenders,ampdefenders
likessadly,likessadly
pplwho,pplwho
spare,spare
poor,poor
attempted,attempted
assault,assault
theft,theft
defenders,defenders
elites,elites
crimes,crimes
💔,💔
desidream,desidream
point,point
comes,comes
grave,grave
truth,truth
herself,herself
stabs,stabs
cuts,cuts
head,head
infront,infront
courtroom,courtroom
again,again
wont,wont
guilty,guilty
🙂,🙂
everything,everything
submitted,submitted
present,present
coffin,coffin
watched,watched
amazing,amazing
documentary,documentary
trailer,trailer
its,its
sad,sad
separated,separated
let’s,let’s
promote,promote
channel,channel
jhaur,jhaur
unknown,unknown
casket,casket
👇,👇
recent,recent
video,video
revolting,revolting
say,say
least,least
stand,stand
wonder,wonder
difficult,difficult
tolerate,tolerate
beast,beast
asap,asap
haneefa,haneefa
deserves,deserves
psychologically,psychologically
‘completely,‘completely
fit’,fit’
despite,despite
arrival,arrival
visit,visit
going,going
injured,injured
brawl,brawl
jailer,jailer
giving,giving
tough,tough
transferred,transferred
mianwali,mianwali
zahir’s,zahir’s
positive,positive
corona,corona
questioning,questioning
father,father
take,take
notice,notice
against,against
aurat,aurat
march,march
well,well
supporting,supporting
shukar,shukar
almighty,almighty
praying,praying
granted,granted
jannat,jannat
ul,ul
firdous,firdous
grant,grant
aladl,aladl
embodiment,embodiment
sets,sets
matters,matters
straight,straight
equitable,equitable
manner,manner
brings,brings
absolute,absolute
wisdom,wisdom
miss,miss
noorah,noorah
changed,changed
baba,baba
live,live
conscious,conscious
lifei,lifei
trust,trust
only,only
prevail,prevail
inshallah,inshallah
day🤗,day🤗
ملککیبقاصدارتینظام,ملککیبقاصدارتینظام
professional,professional
serial,serial
killer,killer
use,use
dodge,dodge
🙏🏼,🙏🏼
actors,actors
pakistans,pakistans
history,history
really,really
oscar,oscar
😂,😂
khan2,khan2
abhishek,abhishek
bachan,bachan
actor,actor
than,than
set,set
free,free
mukhdam’s,mukhdam’s
moving,moving
forward,forward
chance,chance
might,might
tiny,tiny
loop,loop
courts,courts
videos,videos
sentence,sentence
hand,hand
death,death
publically,publically
third,third
class,class
stupid,stupid
ignorant,ignorant
burgers,burgers
seen,seen
true,true
zero,zero
tolerance,tolerance
cruelty,cruelty
kabhi,kabhi
pey,pey
toh,toh
hospital,hospital
zahid,zahid
jaffar,jaffar
fully,fully
fine,fine
farrukh,farrukh
khokhar,khokhar
reveals,reveals
fake,fake
dr,dr
afzal,afzal
complainant,complainant
curses,curses
savage,savage
beast🤲,beast🤲
unstable,unstable
hy,hy
bhi,bhi
tangein,tangein
kam,kam
kr,kr
rhi,rhi
hn,hn
na,na
ajeeb,ajeeb
shughal,shughal
chal,chal
rha,rha
ruthless,ruthless
check,check
kar,kar
lain,lain
inke,inke
wen,wen
went,went
drs,drs
pannel,pannel
said,said
em,em
schizophrenic,schizophrenic
n,n
wasnt,wasnt
senses,senses
cant,cant
walk,walk
came,came
glared,glared
go,go
punshiment,punshiment
hosseini,hosseini
wrote,wrote
thousand,thousand
splendid,splendid
suns,suns
compass,compass
needle,needle
points,points
north,north
mans,mans
accusing,accusing
finger,finger
finds,finds
alchemist,alchemist
become,become
conveniently,conveniently
brilliant,brilliant
acting🙌🏻🙌🏻,acting🙌🏻🙌🏻
god🙏,god🙏
incarnate,incarnate
isn’t,isn’t
odd,odd
since,since
started,started
asking,asking
questions,questions
doppelganger,doppelganger
disappeared🧐,disappeared🧐
🤨,🤨
6,6
months,months
authorities,authorities
jafferadamjee,jafferadamjee
tactic,tactic
thwarted,thwarted
maro,maro
haramio,haramio
isnt,isnt
had,had
institutionalized,institutionalized
ago,ago
concocted,concocted
defence,defence
inducing,inducing
come,come
beheader👇🏻,beheader👇🏻
penalty,penalty
abt,abt
blood,blood
boils,boils
veer,veer
capital,capital
mercy,mercy
advocate,advocate
sikandar,sikandar
zulqarnain,zulqarnain
saleem,saleem
trying,trying
scandalise,scandalise
mukaddam’s,mukaddam’s
traumatising,traumatising
misogynistic,misogynistic
blaming,blaming
illegal,illegal
major,major
families,families
avoid,avoid
visual,visual
representation,representation
fucking,fucking
level,level
performance,performance
ready,ready
corrupt,corrupt
clearly,clearly
first,first
dramatic,dramatic
skills,skills
confirmed,confirmed
clean,clean
health,health
daring,daring
👹,👹
connected,connected
nawaz,nawaz
safe,safe
exit,exit
accepted,accepted
heinous,heinous
stuck,stuck
discussing,discussing
whether,whether
😡,😡
filthy,filthy
executed,executed
public,public
while,while
corpse,corpse
kept,kept
hanging,hanging
until,until
decays,decays
yes,yes
working,working
yet,yet
accuseds’,accuseds’
staff,staff
clambering,clambering
themselves,themselves
garner,garner
beyond,beyond
lol,lol
destroy,destroy
humiliate,humiliate
oh,oh
god,god
he’s,he’s
fooling,fooling
awful,awful
😭,😭
amount,amount
money,money
measure,measure
nature,nature
conscience,conscience
dead,dead
sleep,sleep
peacefully,peacefully
night,night
lines,lines
wrong,wrong
blurred,blurred
classic,classic
‘physically,‘physically
healthy’,healthy’
chills,chills
moments,moments
much,much
news,news
maybe,maybe
decision,decision
announced,announced
rules,rules
committed,committed
ever,ever
ashamed,ashamed
existence,existence
whos,whos
daughter,daughter
killed,killed
stick,stick
profession,profession
side,side
charged,charged
lying,lying
obstruction,obstruction
pleas,pleas
thoughts,thoughts
pls,pls
tw,tw
mukaddum,mukaddum
bumble,bumble
please,please
aware,aware
remove,remove
platform,platform
shot,shot
refusing,refusing
marry,marry
i’ve,i’ve
reported,reported
account,account
sharing,sharing
everyone,everyone
forgive,forgive
inshaallah,inshaallah
styled,styled
har,har
roz,roz
koi,koi
naya,naya
tamasha,tamasha
karta,karta
ye,ye
fool,fool
arrives,arrives
purportedly,purportedly
showing,showing
unwell,unwell
next…,next…
thanks,thanks
sorting,sorting
🙏,🙏
show,show
elements,elements
board,board
cooperating,cooperating
otherwise,otherwise
spared,spared
inspire,inspire
tricks,tricks
carry,carry
happened,happened
sharif,sharif
haram,haram
khor,khor
deal,deal
fired,fired
plz,plz
cold,cold
purdue,purdue
respect,respect
outstanding,outstanding
awardwinning,awardwinning
day…,day…
winning,winning
🎭,🎭
greatest,greatest
soon,soon
agony,agony
primary,primary
arrived,arrived
perpetuated,perpetuated
attempt,attempt
though,though
1,1
🤮,🤮
todays,todays
decide,decide
possibility,possibility
support,support
assure,assure
will🌺🌺🌺,will🌺🌺🌺
jafer,jafer
dealt,dealt
insanity,insanity
strongly,strongly
rejected,rejected
we’ve,we’ve
unwanted,unwanted
addressing,addressing
amendments,amendments
domestic,domestic
violence,violence
2021,2021
across,across
🙏may,🙏may
physical,physical
debilitation,debilitation
slaughtered,slaughtered
mukaddam,mukaddam
shaukat,shaukat
islamabads,islamabads
f7,f7
sector,sector
testified,testified
demanded,demanded
theatrical,theatrical
plot,plot
written,written
didn’t,didn’t
nears,nears
gruesome,gruesome
28yearold,28yearold
exdiplomat,exdiplomat
escorted,escorted
into,into
kindly,kindly
topic,topic
die,die
influential,influential
castrate,castrate
incident,incident
life,life
inspires,inspires
ap,ap
log,log
bemar,bemar
kp,kp
protocol,protocol
dy,dy
rhay,rhay
thay,thay
dear,dear
stake,stake
c,c
grade,grade
promise,promise
bs,bs
compromising,compromising
ends,ends
beginning,beginning
takes,takes
final,final
shape,shape
trail,trail
notes,notes
murdererrapist,murdererrapist
escape,escape
observant,observant
curious,curious
happening,happening
iskey,iskey
pagalpan,pagalpan
key,key
dramey,dramey
mein,mein
hum,hum
sab,sab
pagal,pagal
ho,ho
jayengey,jayengey
watch,watch
vlog,vlog
attend,attend
pk,pk
totally,totally
ridiculous,ridiculous
slap,slap
am,am
blind,blind
demand,demand
highest,highest
country,country
barrister,barrister
h,h
niazi,niazi
isf,isf
breaks,breaks
possible,possible
outcomes,outcomes
12,12
whatever,whatever
within,within
land,land
classical,classical
era,era
lunatic,lunatic
hypocrites,hypocrites
extent,extent
want,want
bear,bear
taken,taken
damn,damn
cut,cut
throat,throat
way,way
wicked,wicked
cunning,cunning
rapist,rapist
cancel,cancel
bail,bail
protected,protected
promoted,promoted
predicts,predicts
‘why,‘why
there’,there’
start,start
‘where,‘where
wrong’,wrong’
son,son
rat,rat
👇🎬👇,👇🎬👇
unable,unable
❤️,❤️
feet,feet
later,later
wheelchair,wheelchair
wish,wish
tight,tight
gone,gone
relevant,relevant
vs,vs
image,image
drenched,drenched
wouldn’t,wouldn’t
yelling,yelling
screaming,screaming
character,character
reminder,reminder
darinda,darinda
confessed,confessed
murdering,murdering
sink,sink
thank,thank
sir,sir
kazi,kazi
backspace,backspace
experts,experts
getaway,getaway
gonna,gonna
dark,dark
آگر,آگر
یہ,یہ
وحشی,وحشی
درندہ,درندہ
سزا,سزا
موت,موت
سے,سے
بچ,بچ
گیا,گیا
تو,تو
۔۔۔۔۔,۔۔۔۔۔
someone,someone
urself,urself
fraud,fraud
doing,doing
adiyala,adiyala
‘fully,‘fully
atta,atta
rabbani,rabbani
willing,willing
resorted,resorted
bringing,bringing
handcuffed,handcuffed
chief,chief
brand,brand
strategist,strategist
ahmed,ahmed
company,company
pvt,pvt
ltd,ltd
former,former
therapist,therapist
pretends,pretends
dupe,dupe
uncontrollable,uncontrollable
cause,cause
mayhem,mayhem
chained,chained
pinned,pinned
darn,darn
lock,lock
creulty,creulty
declamation,declamation
investigative,investigative
touch,touch
mother,mother
phone,phone
illfated,illfated
detail,detail
record,record
spoke,spoke
668,668
seconds,seconds
lets,lets
imagine,imagine
acquitted,acquitted
noormukadams,noormukadams
leading,leading
haunted,haunted
deeds,deeds
accept,accept
27yearold,27yearold
july,july
fatherduring,fatherduring
barbaric,barbaric
“you’ve,“you’ve
served,served
ambassador,ambassador
keeping,keeping
mind,mind
permissible,permissible
association,association
without,without
formal,formal
relationship”,relationship”
ok,ok
youve,youve
relationship,relationship
youre,youre
allowed,allowed
soul,soul
nuts,nuts
example,example
faking,faking
agst,agst
meditated,meditated
contends,contends
worsened,worsened
tahir,tahir
zahoor,zahoor
coaccused,coaccused
tells,tells
کتی,کتی
چوراں,چوراں
نال,نال
pakistanis,pakistanis
option,option
citizenship,citizenship
exchange,exchange
fatima,fatima
institutions,institutions
departments,departments
retard,retard
that’s,that’s
ranked,ranked
130,130
139,139
failed,failed
state💔,state💔
literally,literally
dramaebaziii,dramaebaziii
casehang,casehang
insane,insane
individual,individual
assisting,assisting
different,different
threat,threat
barbarian,barbarian
eventually,eventually
sentenced,sentenced
ive,ive
run,run
mine,mine
emotional,emotional
intervened,intervened
marriage,marriage
unlike,unlike
defending,defending
state,state
force,force
immoral,immoral
londi,londi
powerfuls,powerfuls
surprise,surprise
twisted,twisted
per,per
wishes,wishes
culprits,culprits
powerful,powerful
ways,ways
whereas,whereas
goes,goes
commit,commit
اندھیرنگری,اندھیرنگری
چوپٹ,چوپٹ
راج,راج
perfect,perfect
forgotten,forgotten
judgement,judgement
hadayah,hadayah
truly,truly
followed,followed
envisage,envisage
dragging,dragging
human,human
creation,creation
mothers,mothers
وارثِمسندِولایت,وارثِمسندِولایت
however,however
fooled,fooled
games,games
exposed,exposed
limit,limit
نہصافچلینہشفافچلی,نہصافچلینہشفافچلی
understand,understand
defend,defend
gmsoomro,gmsoomro
81,81
mmalik,mmalik
omg,omg
funeral,funeral
band,band
music,music
progressing,progressing
ignorance,ignorance
فیر,فیر
کیہندے,کیہندے
نیں,نیں
بوٹا,بوٹا
گالاں,گالاں
کڈ,کڈ
دا,دا
judges,judges
therefore,therefore
severely,severely
learn,learn
lesson,lesson
evidences,evidences
forensics,forensics
apny,apny
inna,inna
lillah,lillah
parh,parh
laini,laini
chahiye,chahiye
lux,lux
awards,awards
2022,2022
award,award
blinds,blinds
womendharna,womendharna
friday,friday
peace,peace
hadiath,hadiath
jaffersno,jaffersno
fabricate,fabricate
badly,badly
exposedalready,exposedalready
vibe,vibe
angry,angry
question,question
link,link
source,source
👇🏽,👇🏽
wts,wts
shirt,shirt
wearing,wearing
joke,joke
dispicable,dispicable
behaviour,behaviour
grownass,grownass
ps,ps
laid,laid
stretcherbed,stretcherbed
haven’t,haven’t
wtf,wtf
rotten,rotten
nauseating,nauseating
unfit,unfit
aint,aint
crankytypical,crankytypical
🎭🎭,🎭🎭
twists,twists
worsening,worsening
unjustly,unjustly
evidence,evidence
mobile,mobile
found,found
scene,scene
belongs,belongs
delaying,delaying
disorder,disorder
suspicious,suspicious
looking,looking
darkness,darkness
session,session
lanat🖐🏼advocates,lanat🖐🏼advocates
prove,prove
huss,huss
chalo,chalo
gt£ltgtlt,gt£ltgtlt
insert,insert
gaali,gaali
choice,choice
khare,khare
hojao,hojao
😡😡,😡😡
questionable,questionable
open,open
shut,shut
dragged,dragged
intentionally,intentionally
protect,protect
culprit,culprit
pm,pm
once,once
personally,personally
rizvii,rizvii
wheel,wheel
lows,lows
achieving,achieving
hes,hes
i’m,i’m
upcoming,upcoming
pic,pic
alone,alone
unveils,unveils
wants,wants
accordingly,accordingly
affairs,affairs
political,political
successfully,successfully
proved,proved
bitches,bitches
riches,riches
indeed,indeed
rule,rule
burden,burden
proof,proof
lie,lie
prosecutors,prosecutors
sanity,sanity
welcoming,welcoming
sign,sign
chit,chit
hiccup,hiccup
sikander,sikander
spent,spent
bechara,bechara
client,client
rest,rest
flinging,flinging
mud,mud
front,front
jaisa,jaisa
waisahi,waisahi
simple,simple
predicted,predicted
earlier,earlier
ambulance,ambulance
challenge,challenge
usman,usman
mirzas,mirzas
ensure,ensure
q,q
find,find
commons,commons
among,among
elaborate,elaborate
findings,findings
help,help
pictures,pictures
venn,venn
diagrams,diagrams
audio,audio
anyway,anyway
infirmity,infirmity
especially,especially
due,due
enablers,enablers
service,service
material,material
testimonies,testimonies
swift,swift
culminate,culminate
severest,severest
penalties,penalties
multiplicity,multiplicity
brutality,brutality
shown,shown
brutal,brutal
men,men
honor,honor
carried,carried
policemen,policemen
bakshi,bakshi
khana,khana
during,during
proven,proven
🖐🏼🖐🏼,🖐🏼🖐🏼
کنفرم,کنفرم
لعنتی🖐🏼🖐🏼,لعنتی🖐🏼🖐🏼
dramaybaaz,dramaybaaz
phansi,phansi
isko,isko
bstard’s,bstard’s
slightly,slightly
saner,saner
scum,scum
filth,filth
earth,earth
denied,denied
providing,providing
ease,ease
murders,murders
prolonging,prolonging
period,period
development,development
cites,cites
deteriorating,deteriorating
celebrities,celebrities
ws,ws
latest,latest
footage,footage
victimblaming,victimblaming
victimshaming,victimshaming
policing,policing
business,business
alhumdullilah,alhumdullilah
although,although
becomes,becomes
minister,minister
honourable,honourable
shenanigans,shenanigans
played,played
acceptable,acceptable
chop,chop
try,try
relax,relax
murderous,murderous
assuring,assuring
cleaning,cleaning
mess,mess
malikk,malikk
continues,continues
photo,photo
op,op
season,season
4,4
premiering,premiering
correction,correction
incompetent,incompetent
despicable,despicable
jo,jo
thorey,thorey
dare,dare
phlay,phlay
beth,beth
b,b
nhn,nhn
sktay,sktay
bemary,bemary
sy,sy
ab,ab
full,full
speed,speed
ma,ma
bhagtay,bhagtay
hue🤣🤣🤣,hue🤣🤣🤣
quick,quick
flashback,flashback
focus,focus
concluding,concluding
prolong,prolong
losing,losing
battle,battle
sooner,sooner
nh,nh
elite,elite
facilitation,facilitation
lowest,lowest
props,props
involved,involved
clownery,clownery
books,books
sympathies,sympathies
🇵🇰,🇵🇰
insha’allah,insha’allah
shows,shows
dwindling,dwindling
fiasco,fiasco
card,card
advised,advised
legal,legal
bad,bad
caseit,caseit
send,send
noose,noose
lady,lady
pity,pity
institution,institution
qadmon,qadmon
se,se
pe,pe
kya,kya
presented,presented
stable,stable
dramabaaz,dramabaaz
climax,climax
reached,reached
role,role
practicing,practicing
freshly,freshly
washed,washed
matlab,matlab
kay,kay
kuch,kuch
pharoon,pharoon
smile,smile
facen,facen
unfortunate,unfortunate
protocols,protocols
protest,protest
context,context
justified,justified
ruining,ruining
credit,credit
nowhe,nowhe
big,big
companys,companys
management,management
therapistso,therapistso
connivingextremely,connivingextremely
dangerous,dangerous
killera,killera
hazard,hazard
status,status
two,two
thiskeep,thiskeep
raising,raising
ur,ur
baz,baz
soon♥️,soon♥️
verdict,verdict
longer,longer
loopholes,loopholes
⚖️,⚖️
branded,branded
clothes,clothes
wah,wah
yar,yar
elahi9,elahi9
countrys,countrys
to…rot,to…rot
killing,killing
trusted,trusted
characterless,characterless
low,low
behead,behead
dumb,dumb
legally,legally
sane,sane
doesn’t,doesn’t
justify,justify
killedwhat,killedwhat
foolish,foolish
argument,argument
lawyer😡😡,lawyer😡😡
tweeting,tweeting
friends,friends
wellhope,wellhope
exposing,exposing
helping,helping
podcastspaces,podcastspaces
shameful,shameful
bastards,bastards
azmat,azmat
justin,justin
pakistancriminals,pakistancriminals
sadly,sadly
repetition,repetition
practice,practice
promises,promises
made,made
away🙏,away🙏
dnt,dnt
enjoying,enjoying
vvip,vvip
jailwe,jailwe
itfull,itfull
rishwat,rishwat
tamashe,tamashe
ha,ha
reporting,reporting
ity,ity
khamoshi,khamoshi
adhy,adhy
razamandi,razamandi
smjhy,smjhy
jatay,jatay
hnwake,hnwake
standing,standing
beside,beside
mrmukaddam,mrmukaddam
shouldnt,shouldnt
biased,biased
coz,coz
influence,influence
fair,fair
single,single
rots,rots
dares,dares
play,play
those,those
co,co
fam,fam
teams,teams
eff,eff
trending,trending
desperate,desperate
awam,awam
stands,stands
including,including
psychic,psychic
disorderplayed,disorderplayed
provided,provided
relief,relief
inspite,inspite
himcompany,himcompany
accusers,accusers
arrestedcases,arrestedcases
absconding,absconding
instead,instead
couldnt,couldnt
barking,barking
orders,orders
milna,milna
whilst,whilst
sound,sound
govt,govt
three,three
move,move
anything,anything
uptil,uptil
lame,lame
both,both
wrath,wrath
begins,begins
stress,stress
duas,duas
‘oscar,‘oscar
performance’,performance’
impress,impress
provide,provide
escaping,escaping
humans,humans
easy,easy
regret,regret
chairs,chairs
khatam,khatam
gyeen,gyeen
stunt,stunt
sin,sin
daily,daily
mariam,mariam
missed,missed
won’t,won’t
loves,loves
comfort,comfort
sees,sees
💗,💗
wanted,wanted
blame,blame
mariam’s,mariam’s
boyfriend,boyfriend
inaction,inaction
kidnapped,kidnapped
ultimately,ultimately
suspects,suspects
fault,fault
community,community
profoundly,profoundly
affected,affected
7,7
old,old
sarfaraz,sarfaraz
alizai,alizai
shah,shah
m,m
