Word,Count
birthday,4
forgot,4
angle,4
bannericon,4
isnt,4
matters,4
issue,4
very,4
away,4
remaining,4
inspired,4
tiktoks,4
solidarity,4
tiktok,4
–,4
shoutout,4
meantime,4
8pm,4
🖤,4
stood,4
claims,4
turner,4
heres,4
blood,4
reading,4
below,4
impossible,4
jokes,4
chunian,4
raped,4
scant,4
“dear,4
sibling,4
web,4
survivor,4
brilliance,4
here”,4
ohio,4
beings,4
takeover,4
screenshots,4
giving,4
四国,4
pronouns,4
🎨,4
“time,4
tales,4
kid,4
countries,4
personal,4
testosterone,4
deserves,4
does,4
within,4
elliot,4
attention,4
else,4
receive,4
com,4
art,4
places,4
nyc,4
whove,4
bcuz,4
reports,4
mass,4
fact,4
10th,4
seen,4
banned,4
science,4
rose,4
two,4
ourselves,4
wanted,4
w,4
r,4
using,4
💁🏻‍♀️,4
monsters,4
value,4
report,4
individuals,4
hands,4
🌷,4
yall,4
india,4
speak,4
frustrated,4
inherent,4
reward,4
vilify,4
they’re,4
“wrong”,4
gathering,4
type,4
日本,4
what’s,4
scans,4
selfdetermination,4
overdue,4
ago,4
season,4
mental,4
yaelin,4
movies,4
comes,4
zine,4
sponsored,4
identifying,4
pls,4
cute,4
discussing,4
second,4
counselor,4
row,4
directed,4
collab,4
💋,4
reform,4
香川,4
child,4
pregnancy,4
decision,4
garden,4
brain,4
funny,4
wrote,4
legal,4
female,4
germany,4
subjected,4
mind,4
heard,4
expensive,4
assessment,4
worth,4
😡,4
therapy,4
process,4
dead,4
city,3
care,3
behold,3
nail,3
ig,3
orientation,3
discrimination,3
de,3
start,3
sexual,3
retweet,3
around,3
you’re,3
step,3
shame,3
living,3
billie,3
historic,3
information,3
megan,3
rapinoe,3
hell,3
non,3
ada,3
redmond,3
maybe,3
jean,3
2,3
king,3
signed,3
amicus,3
breakdown,3
livesgtgtgt,3
resulting,3
job,3
af,3
wait,3
mr,3
highly,3
perhaps,3
protest,3
―,3
language,3
wa,3
decide,3
killing,3
jade,3
mary,3
gun,3
include,3
trending,3
note,3
sayi’m,3
harder,3
argentina,3
groundbreaking,3
toys,3
childrens,3
highlighting,3
🎄,3
whether,3
inside,3
sister,3
dad,3
peoples,3
…,3
become,3
🌈✊,3
pay,3
leeze,3
name,3
until,3
together,3
show,3
vagina,3
shes,3
agree,3
exist,3
except,3
menstruate,3
mamma,3
bear,3
hard,3
monster,3
moulton,3
everything,3
31,3
millions,3
students,3
❤️🏳️‍⚧️,3
head,3
educator,3
teacher,3
